,Title,Class,,,,,Count,Percentage
386,Teddy Boy (feat. TeddyLoid),2,,,,,,
387,King of the World,3,,,,,,
388,No One Stands Alone,5,,,,,,
389,Call My Name,2,,,,,,
390,Für Elise Nightmare,0,,,,,,
391,Bad Apple,3,,,,,,
392,Keter Qualities,2,,,,,,
393,"Contradiction (From ""The God of High School"")",2,,,,,,
394,Kings & Queens - Radio,2,,,,,,
395,"I Say Yes (From ""Zero no Tsukaima"")",7,,,,,,
396,Till I Collapse,3,,,,,,
397,Glad You Came,2,,,,,,
398,Take Me! - Helltaker Song,3,,,,,,
399,Vitality,0,,,,,,
400,Antidote,3,,,,,,
401,Nightcore Wildfire,8,,,,,,
402,A Cruel Angel Thesis: 3.0+1.0: The End of Evangelion,5,,,,,,
403,Shelter,3,,,,,,
404,Stronger,2,,,,,,
405,Unity,2,,,,,,
406,Fly Away,2,,,,,,
407,Life's A Mess (feat. Halsey),3,,,,,,
408,EVIL,1,,,,,,
409,"Hero Too (From ""My Hero Academia"")",2,,,,,,
410,PLAYLOUD,3,,,,,,
411,Lullaby,1,,,,,,
412,Widowmaker,2,,,,,,
413,We'll Meet Again,2,,,,,,
414,"Snow Fairy (From ""Fairy Tail"")",2,,,,,,
415,Runnin',8,,,,,,
416,RABBIT HOLE,2,,,,,,
417,After Dark (feat. Fiora),8,,,,,,
418,i feel bad,1,,,,,,
419,Within (Goblin Slayer Episode Twelve inserted song),6,,,,,,
420,Lava,8,,,,,,
421,Shatter Me Featuring Lzzy Hale,1,,,,,,
422,"Netsujou no Spectrum (from ""Seven Deadly Sins"")",1,,,,,,
423,Rivers in the Desert,2,,,,,,
424,Bathtub Mermaid,6,,,,,,
425,Heroes (we could be),5,,,,,,
426,Mind Brand,8,,,,,,
427,Alkatraz,9,,,,,,
428,Sociopath,8,,,,,,
429,Undead Lullaby,1,,,,,,
430,Bragging,1,,,,,,
431,Broken String,2,,,,,,
432,As We Fall,8,,,,,,
433,Awaken,6,,,,,,
434,Rise,5,,,,,,
435,Discord - The Living Tombstone Remix,2,,,,,,
436,Crazy Fuckin' Robot Body,8,,,,,,
437,world.search (you) ;,3,,,,,,
438,Stronger,8,,,,,,
439,Legend,3,,,,,,
440,The Champion,3,,,,,,
441,sustain++;,8,,,,,,
442,Human,7,,,,,,
443,world.execute (me) ;,8,,,,,,
444,Rightfully (TV Animation Goblin Slayer opening),8,,,,,,
445,Deadmen,3,,,,,,
446,The Lost Battalion,5,,,,,,
447,Death of Me,3,,,,,,
448,Nicotine,6,,,,,,
449,Tinted Eyes (feat. blackbear & 24kGoldn),2,,,,,,
450,My Mind (L Rap),7,,,,,,
451,Shots (Overhaul Rap) [feat. Fabvl],2,,,,,,
452,To Hell and Back,3,,,,,,
453,Smoking Snakes,1,,,,,,
454,"Clattanoia (From ""Overlord"")",5,,,,,,
455,Down (Nagisa Rap) [feat. Shwabadi],1,,,,,,
456,Six Feet,1,,,,,,
457,High While the World Ends,3,,,,,,
458,Hero of Our Time,1,,,,,,
459,Hate Me,2,,,,,,
460,Jericho,3,,,,,,
461,Everything Black,2,,,,,,
462,RISE,1,,,,,,
463,Diggy Diggy Hole,9,,,,,,
464,Raging (feat. Kodaline),8,,,,,,
465,Faded,5,,,,,,
466,One More Night,2,,,,,,
467,Payphone,9,,,,,,
468,Animals,2,,,,,,
469,Sugar,3,,,,,,
470,Counting Stars,8,,,,,,
471,Little Talks,3,,,,,,
472,Sail,4,,,,,,
473,Monster,9,,,,,,
474,Feel Invincible,2,,,,,,
475,Rule the World,3,,,,,,
476,Cold-Blooded,5,,,,,,
477,New Blood,5,,,,,,
478,Gladiator,5,,,,,,
479,Leave It All Behind,9,,,,,,
480,Legends Never Die,8,,,,,,
481,Fortuna (Warframe),6,,,,,,
482,Drown (feat. Clinton Kane) - Nicky Romero Remix,2,,,,,,
483,"We All Lift Together (From ""Warframe"")",7,,,,,,
484,Iris,3,,,,,,
485,Mama,8,,,,,,
486,Welcome to the Black Parade,3,,,,,,
487,dying breath,9,,,,,,
488,Royalty,9,,,,,,
489,Survive (Ban Rap) [feat. DaisyBanaisy],5,,,,,,
490,Mr. Brightside,3,,,,,,
491,When Dragons Cry,2,,,,,,
492,They Don't Care About Us,3,,,,,,
493,Unravel,6,,,,,,
494,Sail Away,8,,,,,,
495,Dreamer,1,,,,,,
496,Punches,5,,,,,,
497,Voodoo,3,,,,,,
498,Lucy,9,,,,,,
499,Heaven on Hold,3,,,,,,
500,Coldhearted,6,,,,,,
501,Stomp Me Out,5,,,,,,
502,Starlight,2,,,,,,
503,Midnight Addiction,2,,,,,,
504,Outrunning Karma,6,,,,,,
505,Sweet Tooth,3,,,,,,
506,Mister Glassman,3,,,,,,
507,Start a Fire,1,,,,,,
508,"Jingo Jungle (From ""Saga of Tanya the Evil"")",5,,,,,,
509,"Question (From ""Assassination Classroom"")",1,,,,,,
510,Lifelight (from “Super Smash Bros. Ultimate”),1,,,,,,
511,"Rise (From ""The Rising of the Shield Hero"")",5,,,,,,
512,Voldemort,2,,,,,,
513,Killer In The Mirror,2,,,,,,
514,I'll Sleep When I'm Dead,8,,,,,,
515,Wolf in Sheep's Clothing (feat. William Beckett),1,,,,,,
516,Night Witches,2,,,,,,
517,Burning Brighter,8,,,,,,
518,The Dead Can't Testify,9,,,,,,
519,The Mystic,2,,,,,,
520,Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” Soundtrack,6,,,,,,
521,Control,2,,,,,,
522,Carnivore,5,,,,,,
523,My Demons,8,,,,,,
524,Attention,2,,,,,,
525,Rich Love (with Seeb),2,,,,,,
526,I Took A Pill In Ibiza - Seeb Remix,2,,,,,,
527,Tiger Blood,2,,,,,,
528,It Has Begun,5,,,,,,
529,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",1,,,,,,
530,Hit and Run,1,,,,,,
531,Mad Hatter,9,,,,,,
532,Courtesy Call,1,,,,,,
533,For the Glory,2,,,,,,
534,Hail to the King,2,,,,,,
535,Mine,9,,,,,,
536,Forgive Me,8,,,,,,
537,White Rabbit,8,,,,,,
538,Bang!,8,,,,,,
539,Rumors,9,,,,,,
540,Sweet but Psycho,3,,,,,,
541,This Is War,5,,,,,,
542,"This Game (From ""No Game No Life"")",5,,,,,,
543,Doom Days,6,,,,,,
544,JEKYLL & HIDE,1,,,,,,
545,Heart Afire,8,,,,,,
546,CEMETERY,1,,,,,,
547,Godzilla (feat. Juice WRLD),1,,,,,,
548,"Till I Die (From ""Kill La Kill"")",8,,,,,,
549,"I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)",5,,,,,,
550,Kiss of Death,5,,,,,,
551,My Darling,3,,,,,,
552,"Rain (From ""Fullmetal Alchemist: Brotherhood"")",9,,,,,,
553,"Red Like Roses, Pt. 2",1,,,,,,
554,Partners in Crime (feat. Ash Costello),3,,,,,,
555,Before My Body Is Dry feat. Lollia (dj-Jo Remix),8,,,,,,
556,ECHO (feat. Gumi) [dj-Jo Remix],2,,,,,,
557,"PAPERMOON (from ""Soul Eater"")",2,,,,,,
558,"Seven Deadly Sins (From ""Seven Deadly Sins"") [feat. PelleK]",3,,,,,,
559,Is There Still Anything That Love Can Do? (English Version),5,,,,,,
560,Voracity,3,,,,,,
561,L.L.L.,2,,,,,,
562,Fairy Tail Main Theme (dj-Jo Remix),8,,,,,,
563,Sign of the Times,5,,,,,,
564,Lalala,3,,,,,,
565,Die Peacefully,0,,,,,,
566,Diving in Too Deep,2,,,,,,
567,Kingdom Come,3,,,,,,
568,Paper Planes,3,,,,,,
569,Jungle,1,,,,,,
570,Waves Of Loneliness,9,,,,,,
571,Simple & Sweet,7,,,,,,
572,Luxury,5,,,,,,
573,Sad Song,3,,,,,,
574,JT,3,,,,,,
575,Middle Finger,2,,,,,,
576,Born For This,2,,,,,,
577,thoughts & prayers,5,,,,,,
578,Solo,1,,,,,,
579,Renegades,3,,,,,,
580,Paris,3,,,,,,
581,Sanity,2,,,,,,
582,lovely (with Khalid),6,,,,,,
583,Something Just Like This,1,,,,,,
584,Superhero,1,,,,,,
585,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",5,,,,,,
586,Sweet Dreams (Are Made of This) - Remastered,2,,,,,,
587,Phoenix (Carpenter Brut Remix),5,,,,,,
588,"Into the Unknown - From ""Frozen 2""",3,,,,,,
589,GIANTS,3,,,,,,
590,Sarcasm,2,,,,,,
591,Zombie,5,,,,,,
592,Maniac,9,,,,,,
593,Revolver,4,,,,,,
594,Take It Back,7,,,,,,
595,Ayleeyuns,5,,,,,,
596,High Definition,9,,,,,,
597,Legacy,2,,,,,,
598,I'm Ready,9,,,,,,
599,Stand Up,3,,,,,,
600,Revolution,2,,,,,,
601,Humble,1,,,,,,
602,Netflix Trip,9,,,,,,
603,Wanted,3,,,,,,
604,Afterlife,8,,,,,,
605,Sick Boy,1,,,,,,
606,Crocodile Tears,1,,,,,,
607,Believer,1,,,,,,
608,It’s Only (feat. Zyra) - ODESZA VIP Remix,4,,,,,,
609,Trampoline,2,,,,,,
610,Dizzy,8,,,,,,
611,Immigrant Song - Remaster,9,,,,,,
612,Darkside,8,,,,,,
613,Another Level,1,,,,,,
614,We Are Young (feat. Janelle Monáe),9,,,,,,
615,Dear Future Self (Hands Up) [feat. Wyclef Jean],3,,,,,,
616,"""The Take Over, The Breaks Over""",9,,,,,,
617,Centuries,2,,,,,,
618,Blood // Water,2,,,,,,
619,Hate Me - R3HAB Remix,5,,,,,,
620,Just One Yesterday,2,,,,,,
621,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),2,,,,,,
622,HandClap,9,,,,,,
623,The Mighty Fall,2,,,,,,
624,Save Rock And Roll,5,,,,,,
625,Welcome to the Party (feat. Zhavia),3,,,,,,
626,"Ashes - from ""Deadpool 2"" Motion Picture Soundtrack",8,,,,,,
627,Crop Circles,2,,,,,,
628,Alone Together,9,,,,,,
629,The Good In Me,1,,,,,,
630,Sad Still,5,,,,,,
631,Run Wild,1,,,,,,
632,I Don't Care - Single Version,1,,,,,,
633,Boy In The Bubble,1,,,,,,
634,Dead Man Walking,7,,,,,,
635,Friends,2,,,,,,
636,Horns,5,,,,,,
637,The Entertainment's Here,5,,,,,,
638,Next Up Forever,5,,,,,,
639,While You Count Sheep,7,,,,,,
640,Fashion,3,,,,,,
641,Thief,8,,,,,,
642,rock + roll,6,,,,,,
643,Maybe IDK,5,,,,,,
644,Karma,5,,,,,,
645,Hand Of God - Outro,8,,,,,,
646,Woke The F*ck Up,9,,,,,,
647,80's Films,5,,,,,,
648,iRobot,5,,,,,,
649,Heroes,8,,,,,,
650,Overwhelming,3,,,,,,
651,Guillotine,2,,,,,,
652,Beautiful Now,1,,,,,,
653,Blu,3,,,,,,
654,All Time Low,3,,,,,,
655,Morning In America,9,,,,,,
656,Under Pressure - Remastered 2011,3,,,,,,
657,Boys Will Be Bugs,3,,,,,,
658,Sick Boy,1,,,,,,
659,Out My Head,2,,,,,,
660,Empress,8,,,,,,
661,Bone Dry,5,,,,,,
662,Samurai (feat. Katy Tiz),8,,,,,,
663,Limelight (NGHTMRE Remix),3,,,,,,
664,"Me, Myself & I",8,,,,,,
665,Hey Brother,2,,,,,,
666,DJ Got Us Fallin' In Love,2,,,,,,
667,Break Your Heart,9,,,,,,
668,Royals,5,,,,,,
669,Love,5,,,,,,
670,Six Feet Under,6,,,,,,
671,watch,3,,,,,,
672,ocean eyes,6,,,,,,
673,WHEN I WAS OLDER - Music Inspired By The Film ROMA,4,,,,,,
674,Idle Town,7,,,,,,
675,all the good girls go to hell,1,,,,,,
676,Can't Feel My Face,1,,,,,,
